제조사,제품명,신고번호,등록일,유통기한,기능성
(주)알피바이오,더 파르마 카르니틴,200400170061460,20220429,제조일로부터 24개월,"[L-카르니틴타르트레이트] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급), 운동으로 인한 피로개선에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
코스맥스엔비티(주),더 프로바이오 슬림,200700170352288,20221202,제조일로부터 18개월,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장 건강에 도움을 줄 수 있음
[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
주식회사한미양행,더나은 콜레우스 다이어트,200400150831769,20221018,제조일로부터 24개월까지,"체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①유해산소로부터 세포를 보호하는데 필요"
주식회사 아리너스,더다이어트,20110020099141,20190531,18개월,"[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
[난소화성말토덱스트린] 배변활동 원활에 도움을 줄 수 있음"
(주)한국씨엔에스팜,더먹어도좋아,200400200071033,20150522,제조일로부터 24개월까지,"[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
"
(주)한국씨엔에스팜,더먹어요,200400200071959,20180508,제조일로부터 24개월까지,①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
(주)한국씨엔에스팜,더미스라인,200400200071942,20180411,제조일로부터 24개월,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌"
(주)허브큐어,더블 라이트 30,20040015162335,20190911,제조일로부터 2년까지,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①배변활동 원활에 도움을 줄 수 있음"
(주)한국씨엔에스팜,더블 슬림핏 가르시니아 녹차 카테킨,200400200072686,20210908,제조일로부터 24개월까지,"[녹차추출물] 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음
[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
우리바이오(주),더블 컷 다이어트 카테킨 & 바나바잎,20190009483193,20211014,제조일로부터 24개월까지,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음"
