제조사,제품명,신고번호,등록일,유통기한,기능성
주식회사 노바렉스2공장,더 오메가-3,20060020008669,20210413,제조일로부터 24개월,"①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음"
엔피케이(주) 2공장,더 오메가3 얼티밋,2021001622968,20240709,제조일로부터 36개월,"[EPA 및 DHA 함유 유지]①혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음③기억력 개선에 도움을 줄수 있음
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
"
동서바이오팜(주),더 임팩트 솔루션,20040017025419,20161111,제조일로부터 24개월,[나토균배양분말] 혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)[비타민 C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요[비타민B12] ①정상적인 엽산 대사에 필요
(주)알피바이오,더 트루 알티지오메가3,200400170061031,20201118,제조일로부터 24개월,"[EPA 및 DHA 함유 유지]
혈중 중성지질 개선·혈행 개선··건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[마리골드꽃추출물]
노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
[헤마토코쿠스 추출물]
눈의 피로도 개선에 도움을 줄 수 있음"
코스맥스엔비티(주),더 파르마 오메가3 베이직,200700170351770,20210120,제조일로부터 24개월,"[EPA및 DHA 함유유지] 
①혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민 E] 
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더 플라워밍 우먼,200400200072453,20201013,제조일로부터 24개월까지,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
코스맥스엔비티(주),더AQ오메가3,200700170352815,20241108,제조일로부터 24개월,"[비타민 D]
칼슘과 인이 흡수되고 이용되는데 필요
뼈의 형성과 유지에 필요
골다공증발생 위험 감소에 도움을 줌

[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[EPA 및 DHA 함유 유지]
혈중 중성지질 개선･혈행 개선･기억력 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
"
코스맥스바이오(주),더건강한혈행,200400200022324,20190315,제조일로부터 2년.,"1) 은행잎추출물 : 기억력 개선 · 혈행 개선에 도움을 줄 수 있음.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
5) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
6) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
7) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
주식회사한미양행,더나은 rTG 오메가3,200400150831694,20220516,제조일로부터 24개월까지," EPA 및 DHA 함유 유지 : 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)한미양행 선유공장,더나은 식물성 rTG 오메가3,2022001022222,20230802,제조일로부터 24개월까지,"혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
