제품명,기능성,processed_text
더 채움 프리미엄,①관절 및 연골 건강·피부보습에 도움을 줄 수 있음,관절 연골 피부 보습 줄 수
더 힘찬관절 포르테,"[엠에스엠(MSM)] 관절 및 연골건강에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",엠에스 엠 관절 연골 줄 수 비타민 항산화 산소
더(THE) 굿조인,[N-아세틸글루코사민]: ①관절 및 연골건강에 도움을 줄 수 있음,틸글루 코 민 관절 연골 줄 수
더:단백 면역+ 케어프로틴,"[단백질]근육, 결합조직 등 신체조직의 구성성분, 효소 , 호르몬  항체의 구성에 필요
[NAG] 관절 및 연골건강에 도움을 줄 수 있음
[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민B6] 단백질 및 아미노산 이용에 필요
[아연] 정상적인 면역 기능에 필요
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄] 유해 산소로 부터 세포를 보호하는데 필요",단백질 근육 신체 조직 구성 성분 효소 호르몬 항체 구성 관절 연골 줄 수 칼슘 뼈 치아 신경 근육 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소 비타민 단백질 아미노산 아연 면역 판토텐산 지방 단백질 에너지 생 셀레늄 산소
더나은 뮤코다당단백(콘드로이친) 1200,"관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소 뼈 에너지 산소
더다른 엠에스엠,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
더다른 엠에스엠 플러스,"① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
더마타민,"[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움②피부보습에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B2]①체내 에너지 생성에 필요
",틸글루 코 민 관절 연골 피부 보습 줄 수 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 판토텐산 지방 단백질 에너지 생 나이아신 에너지 생 비타민 에너지 생
더마타민-B,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움②피부보습에 도움을 줄 수 있음
N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 ",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 틸글루 코 민 관절 연골 피부 보습 줄 수 틸글루 코 민 관절 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 칼슘 지방 단백질 에너지 생 틸글루 코 민 관절 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 칼슘 지방 단백질 에너지 생
더마타민F,"[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움을 줄 수 있음 ②피부보습에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
 N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요  N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 ",틸글루 코 민 관절 연골 줄 수 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 틸글루 코 민 관절 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 칼슘 지방 단백질 에너지 생 틸글루 코 민 관절 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 칼슘 지방 단백질 에너지 생
