제품명,기능성,processed_text
더 파르마 카르니틴,"[L-카르니틴타르트레이트] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급), 운동으로 인한 피로개선에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",카르니틴 타르트 레이 트 체지방 감소 줄 수 생리 활 운동 피로 줄 수 비타민 철 항산화 산소 아연 면역 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비오틴 지방 단백질 에너지 생
더 프로바이오 슬림,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장 건강에 도움을 줄 수 있음
[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",프로바이오틱스 유산균 균 배변 장 줄 수 아캄 보지 물 지방 체지방 감소 줄 수 비오틴 지방 단백질 에너지 생
더나은 콜레우스 다이어트,"체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①유해산소로부터 세포를 보호하는데 필요",체지방 감소 줄 수 생리 활 에너지 에너지 생 지방 단백질 에너지 생 단백질 아미노산 혈액 시스테인 산소
더다이어트,"[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
[난소화성말토덱스트린] 배변활동 원활에 도움을 줄 수 있음",아캄 보지 물 지방 체지방 감소 난소 화성 말토 덱스트린 배변 줄 수
더먹어도좋아,"[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
",아캄 보지 물 지방 체지방 감소 비타민 철 산소
더먹어요,①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,지방 체지방 감소
더미스라인,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 아캄 보지 물 지방 체지방 감소
더블 라이트 30,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①배변활동 원활에 도움을 줄 수 있음",지방 체지방 감소 배변 줄 수
더블 슬림핏 가르시니아 녹차 카테킨,"[녹차추출물] 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음
[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 아캄 보지 물 지방 체지방 감소 줄 수 판토텐산 지방 단백질 에너지 생
더블 컷 다이어트 카테킨 & 바나바잎,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 바나바 잎 물 식후 혈당 상승 줄 수
