제품명,기능성,processed_text
더 퍼스트,①혈중 콜레스테롤 개선에 도움을 줄 수 있음 ②배변활동원활에 도움을 줄 수 있음,콜레스테롤 줄 수 배변 줄 수
더 퍼펙트 모나바 맥스,"[홍국] ①혈중 콜레스테롤 개선에 도움을 줄 수 있음
[바나바잎 추출물] ①식후 혈당상승 억제에 도움을 줄 수 있음",홍국 콜레스테롤 줄 수 바나바 잎 물 식후 혈당 상승 줄 수
더 플라워밍 우먼,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",회화나무 물 갱년기 여성 줄 수 감마 리놀렌산 콜레스테롤 혈행 경전 변화 상태 면역 과민반응 피부 상태 줄 수 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더다른 감마리놀렌산,"- 감마리놀렌산 : 혈중 콜레스테롤 개선･혈행개선･월경전 변화에 의한 불편한 상태 개선･면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 비타민 E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",감마 리놀렌산 콜레스테롤 혈행 경전 변화 상태 면역 과민반응 피부 상태 줄 수 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더미스라인,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 아캄 보지 물 지방 체지방 감소
더블 슬림핏 가르시니아 녹차 카테킨,"[녹차추출물] 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음
[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 아캄 보지 물 지방 체지방 감소 줄 수 판토텐산 지방 단백질 에너지 생
더블 아웃 화이버 차전자피,[차전자피식이섬유] ①혈중 콜레스테롤 개선·배변활동 원활에 도움을 줄 수 있음,피 식이섬유 콜레스테롤 배변 줄 수
더블 컷 다이어트 카테킨 & 바나바잎,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 바나바 잎 물 식후 혈당 상승 줄 수
더블발란스-그린,"①배변활동 원활에 도움을 줄 수 있음

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",배변 줄 수 항산화 체지방 감소 콜레스테롤 줄 수 철 산소 산소 면역 지방 단백질 에너지 생
더블발란스-플러스,"(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요",체지방 감소 줄 수 항산화 체지방 감소 콜레스테롤 줄 수 철 항산화 산소 칼슘 인 뼈 골다공증 감소 에너지 에너지 생
