제품명,기능성,processed_text
더 퍼스트 포스트바이오틱스,"- 프로바이오틱스: 유익균 증식 및 유해균 억제, 배변활동 원활에 도움을 줄 수 있음
- 프락토올리고당: 장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음
- 판토텐산: 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
- 아연: 정상적인 면역기능에 필요, 정상적인 세포분열에 필요",프로바이오틱스 유익 균 균 배변 줄 수 프락 토 올리고당 장내 유익 균 배변 줄 수 판토텐산 지방 단백질 에너지 생 아연 면역
더 프로바이오,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[셀렌] 유해산소로부터 세포를 보호하는데 필요

[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",프로바이오틱스 유산균 균 배변 장 줄 수 아연 면역 셀렌 산소 비타민 칼슘 인 뼈 골다공증 감소
더 프로바이오 슬림,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장 건강에 도움을 줄 수 있음
[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",프로바이오틱스 유산균 균 배변 장 줄 수 아캄 보지 물 지방 체지방 감소 줄 수 비오틴 지방 단백질 에너지 생
더 프로바이오틱스,"프로바이오틱스 : 유산균 증식 및 유해균 억제·배변활동 원활, 장건강에 도움을 줄 수 있음
셀렌 : ①유해산소로부터 세포를 보호하는데 필요
아연 : ①정상적인 면역기능에 필요②정상적인 세포분열에 필요",프로바이오틱스 유산균 균 배변 장 줄 수 셀렌 산소 아연 면역
더 플로우 프로바이오틱스(The Flow Probiotics),"* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",비타민 칼슘 인 뼈 골다공증 감소 아연 면역 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더나은 마이크로바이옴 골드,"* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",비타민 칼슘 인 뼈 골다공증 감소 아연 면역 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더나은 마이크로바이옴 더블유,"* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",아연 면역 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더나은 액티브 신바이오틱스,"* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프락토올리고당
① 장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",아연 면역 프락 토 올리고당 장내 유익 균 배변 줄 수 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더나은생생 유산균17종,"* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",아연 면역 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더다른 10억 프로바이오틱스,"[프로바이오틱스] 유산균 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요",프로바이오틱스 유산균 균 배변 줄 수 아연 면역 셀렌 산소
더다른 이뮨 앤 리스펙타,"[리스펙타(Respecta®)[프로바이오틱스 등 복합물](제2019-26호)](국문) 질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음 (영문) May help to proliferate vaginal beneficial flora and to suppress pathogenic bacteria
[프로바이오틱스]유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌]①유해산소로부터 세포를 보호하는데 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",리 스펙 타 프로바이오틱스 복합 물 호 유익 균 균 줄 수 프로바이오틱스 유산균 균 배변 장 줄 수 아연 면역 셀렌 산소 비타민 칼슘 인 뼈 골다공증 감소
