제조사,제품명,신고번호,등록일,유통기한,기능성
(주)팜텍코리아,더 채움 프리미엄,20040015191126,20220624,제조일로부터 24개월,①관절 및 연골 건강·피부보습에 도움을 줄 수 있음
엔피케이(주),더 힘찬관절 포르테,20100019004884,20190418,제조일부터 24 개월,"[엠에스엠(MSM)] 관절 및 연골건강에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)비오팜,더(THE) 굿조인,200400170211608,20231227,제조일로부터 24개월,[N-아세틸글루코사민]: ①관절 및 연골건강에 도움을 줄 수 있음
남양유업 주식회사 세종공장,더:단백 면역+ 케어프로틴,202200211983,20240109,제조일로부터 18개월,"[단백질]근육, 결합조직 등 신체조직의 구성성분, 효소 , 호르몬  항체의 구성에 필요
[NAG] 관절 및 연골건강에 도움을 줄 수 있음
[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민B6] 단백질 및 아미노산 이용에 필요
[아연] 정상적인 면역 기능에 필요
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄] 유해 산소로 부터 세포를 보호하는데 필요"
주식회사한미양행,더나은 뮤코다당단백(콘드로이친) 1200,200400150831956,20230911,제조일로부터 24개월까지,"관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요"
주)팜크로스,더다른 엠에스엠,200400151101050,20220113,제조일로부터 24개월,① 관절 및 연골건강에 도움을 줄 수 있음
주)팜크로스,더다른 엠에스엠 플러스,200400151101106,20221006,제조일로부터 24개월,"① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
한국바이오팜(주)에이치피,더마타민,20040020046384,20150522,24개월,"[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움②피부보습에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B2]①체내 에너지 생성에 필요
"
주식회사 아리너스,더마타민-B,2011002009910,20150522,24개월,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움②피부보습에 도움을 줄 수 있음
N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 "
주식회사 아리너스,더마타민F,2011002009937,20150522,제조일로부터 2년,"[N-아세틸글루코사민 제품]①관절 및 연골 건강에 도움을 줄 수 있음 ②피부보습에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
 N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요  N-아세틸글루코사민 : 관절건강에 도움, 피부보습에 도움을 줄 수 있음
 비타민B1 : 탄수화물 에너지 대사에 필요
 비타민B2 : 체내에너지 생성에 필요
 비타민B6 : 단백질 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
 나이아신: 체내에너지생성에 필요
 판토텐산칼슘 : 지방, 단백질, 탄수화물 대사와  에너지 생성에 필요 "
