제조사,제품명,신고번호,등록일,유통기한,기능성
엔피케이(주) 2공장,더 오메가3 얼티밋,2021001622968,20240709,제조일로부터 36개월,"[EPA 및 DHA 함유 유지]①혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음③기억력 개선에 도움을 줄수 있음
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
"
이앤에스(주),더 이상 버티다 간,20120017002225,20231226,24개월,"[실리마린]  ① 간 건강에 도움을 줄 수 있음
[비타민B1] (1) 탄수화물과 에너지 대사에 필요
[비타민B2] (1) 체내 에너지 생성에 필요
[비타민B6]  ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12](1) 정상적인 엽산 대사에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[나이아신] ①체내 에너지 생성에 필요"
동서바이오팜(주),더 임팩트 솔루션,20040017025419,20161111,제조일로부터 24개월,[나토균배양분말] 혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)[비타민 C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요[비타민B12] ①정상적인 엽산 대사에 필요
엔피케이(주),더 청춘W,20100019004695,20170525,제조일로부터 24개월,"[회화나무열매추출물] 갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[나이아신] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요

[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

[베타카로틴] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요"
코스맥스엔비티(주),더 콜라겐,200700170352511,20230821,제조일로부터 24개월,"[저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호)](국문)① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부 손상으로부터 피부 건강을  유지하는데 도움을 줄 수 있음(영문)① May help to moisturize (dry) skin ② May help to maintain good skin health by protecting against damage from UV exposure
[비타민D]칼슘과 인이 흡수되고 이용되는데 필요뼈의 형성과 유지에 필요골다공증발생 위험 감소에 도움을 줌
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비오틴]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민C]결합조직 형성과 기능유지에 필요철의 흡수에 필요항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연]정상적인 면역기능에 필요정상적인 세포분열에 필요
[셀렌]유해산소로부터 세포를 보호하는데 필요"
엠에스바이오텍(주),더 튼튼쑥쑥 키즈,20040020020872,20210324,제조일로부터 24개월,"* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 철
① 체내 산소운반과 혈액생성에 필요
② 에너지 생성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌"
코스맥스엔비티(주),더 파르마 오메가3 베이직,200700170351770,20210120,제조일로부터 24개월,"[EPA및 DHA 함유유지] 
①혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민 E] 
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)알피바이오,더 파르마 카르니틴,200400170061460,20220429,제조일로부터 24개월,"[L-카르니틴타르트레이트] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급), 운동으로 인한 피로개선에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
코스맥스엔비티(주),더 프로바이오,200700170352283,20221122,제조일로부터 18개월,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[셀렌] 유해산소로부터 세포를 보호하는데 필요

[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
(주)한국씨엔에스팜,더 플라워밍 우먼,200400200072453,20201013,제조일로부터 24개월까지,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
엠에스바이오텍(주),더 플로우 프로바이오틱스(The Flow Probiotics),20040020020875,20210329,제조일로부터 18개월,"* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음"
엔피케이(주),더 힘찬관절 포르테,20100019004884,20190418,제조일부터 24 개월,"[엠에스엠(MSM)] 관절 및 연골건강에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)코지맘바이오,더(THE)케어플러스,2023002876632,20241205,제조일로부터 24개월까지,"[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요"
남양유업 주식회사 세종공장,더:단백 면역+ 케어프로틴,202200211983,20240109,제조일로부터 18개월,"[단백질]근육, 결합조직 등 신체조직의 구성성분, 효소 , 호르몬  항체의 구성에 필요
[NAG] 관절 및 연골건강에 도움을 줄 수 있음
[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민B6] 단백질 및 아미노산 이용에 필요
[아연] 정상적인 면역 기능에 필요
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄] 유해 산소로 부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더:해 비타민D 2000IU,200400200072254,20190927,제조일로부터 24개월까지,[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌
코스맥스엔비티(주),더AQ오메가3,200700170352815,20241108,제조일로부터 24개월,"[비타민 D]
칼슘과 인이 흡수되고 이용되는데 필요
뼈의 형성과 유지에 필요
골다공증발생 위험 감소에 도움을 줌

[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[EPA 및 DHA 함유 유지]
혈중 중성지질 개선･혈행 개선･기억력 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
"
