제조사,제품명,신고번호,등록일,유통기한,기능성
이앤에스(주),더 이상 버티다 간,20120017002225,20231226,24개월,"[실리마린]  ① 간 건강에 도움을 줄 수 있음
[비타민B1] (1) 탄수화물과 에너지 대사에 필요
[비타민B2] (1) 체내 에너지 생성에 필요
[비타민B6]  ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12](1) 정상적인 엽산 대사에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[나이아신] ①체내 에너지 생성에 필요"
엔피케이(주),더 청춘W,20100019004695,20170525,제조일로부터 24개월,"[회화나무열매추출물] 갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[나이아신] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요

[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

[베타카로틴] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요"
코스맥스엔비티(주),더 콜라겐,200700170352511,20230821,제조일로부터 24개월,"[저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호)](국문)① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부 손상으로부터 피부 건강을  유지하는데 도움을 줄 수 있음(영문)① May help to moisturize (dry) skin ② May help to maintain good skin health by protecting against damage from UV exposure
[비타민D]칼슘과 인이 흡수되고 이용되는데 필요뼈의 형성과 유지에 필요골다공증발생 위험 감소에 도움을 줌
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비오틴]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민C]결합조직 형성과 기능유지에 필요철의 흡수에 필요항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연]정상적인 면역기능에 필요정상적인 세포분열에 필요
[셀렌]유해산소로부터 세포를 보호하는데 필요"
코스맥스엔비티(주),더 프로바이오,200700170352283,20221122,제조일로부터 18개월,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[셀렌] 유해산소로부터 세포를 보호하는데 필요

[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
(주)서흥,더 프로바이오틱스,200400200061550,20200902,제조일부터 24개월,"프로바이오틱스 : 유산균 증식 및 유해균 억제·배변활동 원활, 장건강에 도움을 줄 수 있음
셀렌 : ①유해산소로부터 세포를 보호하는데 필요
아연 : ①정상적인 면역기능에 필요②정상적인 세포분열에 필요"
코스맥스바이오(주),더건강한비타민,200400200022331,20190321,제조일로부터 2년.,"1) 비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장
	    과 발달에 필요.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B2 : 체내 에너지 생성에 필요.
4) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
5) 비타민B12 : 정상적인 엽산 대사에 필요.
6) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
7) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
8) 비타민E : 유해산소로부터 세포를 보호하는데 필요.
9) 비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요. 
10) 베타카로틴 : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장        과 발달에 필요.
11) 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
	  필요. 
12) 나이아신 : 체내 에너지 생성에 필요.　
13) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
14) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
15) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
16) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
17) 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요.
18) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
19) 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
20) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.
21) 요오드 : 갑상선 호르몬의 합성에 필요, 에너지 생성에 필요, 신경발달에 필요. 
22) 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
23) 몰리브덴 : 산화 · 환원 효소의 활성에 필요. 
24) 크롬"
코스맥스바이오(주),더건강한아침,200400200022327,20190318,제조일로부터 2년.,"1) 테아닌 :  스트레스로 인한 긴장완화에 도움을 줄 수 있음. 
2) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
3) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
4) 비타민E : 유해산소로부터 세포를 보호하는데 필요
5) 나이아신 : 체내 에너지 생성에 필요.　
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
7) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
코스맥스바이오(주),더건강한에너지,200400200022325,20190315,제조일로부터 2년.,"1) 비타민B1 : 탄수화물과 에너지 대사에 필요.
2) 비타민B2 : 체내 에너지 생성에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민B12 : 정상적인 엽산 대사에 필요.
5) 나이아신 : 체내 에너지 생성에 필요.
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
7) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
코스맥스바이오(주),더건강한혈행,200400200022324,20190315,제조일로부터 2년.,"1) 은행잎추출물 : 기억력 개선 · 혈행 개선에 도움을 줄 수 있음.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
5) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
6) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
7) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
(주)한국씨엔에스팜,더고래 쏘팔메토 옥타코사놀 맥스,200400200072816,20220412,제조일로부터 24개월까지,"[쏘팔메토열매추출물] 전립선 건강의 유지에 도움을 줄 수 있음
[옥타코사놀함유유지] 지구력 증진에 도움을 줄 수 있음
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요
[나이아신] 체내 에너지 생성에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)알피바이오,더다른 10억 프로바이오틱스,200400170061114,20210312,18개월,"[프로바이오틱스] 유산균 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
코스맥스바이오(주),더다른 그린프로폴리스,200400200023044,20211028,제조일로부터 2년,"1) 프로폴리스추출물 : 항산화에 도움을 줄 수 있음.
2) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요.
3) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
4) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
(주)서흥,더다른 밀크씨슬,200400200061724,20211202,제조일부터 24개월,"밀크씨슬(카르두스마리아누스) 추출물 : 간 건강에 도움을 줄 수 있음
셀렌 : 유해산소로부터 세포를 보호하는데 필요
"
콜마비앤에이치(주)음성공장,더다른 밀크씨슬,200600200032594,20221125,제조일로부터 24개월,"- 밀크씨슬(카르두스 마리아누스) 추출물 : 간 건강에 도움을 줄 수 있음
- 셀렌 : 유해산소로부터 세포를 보호하는데 필요"
콜마비앤에이치(주)음성공장,더다른 바나바,200600200032415,20220509,제조일로부터 24개월,"- 바나바잎 추출물: 식후 혈당상승 억제에 도움을 줄 수 있음
- 비타민 B1: 탄수화물과 에너지 대사에 필요
- 비타민 B2: 체내 에너지 생성에 필요
- 비타민 B6: 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 비타민 B12: 정상적인 엽산 대사에 필요
- 아연: 정상적인 면역기능에 필요, 정상적인 세포분열에 필요
- 셀렌: 유해산소로부터 세포를 보호하는데 필요"
(주)서흥,더다른 비오틴,200400200061691,20210916,제조일로부터 24개월,"판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
크롬 : 체내 탄수화물, 지방, 단백질 대사에 관여
셀렌 : 유해산소로부터 세포를 보호하는데 필요   
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요 
비타민B1 : 탄수화물과 에너지 대사에 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
코스맥스엔비티(주),더다른 이뮨 앤 리스펙타,200700170351854,20210525,제조일로부터 18개월까지,"[리스펙타(Respecta®)[프로바이오틱스 등 복합물](제2019-26호)](국문) 질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음 (영문) May help to proliferate vaginal beneficial flora and to suppress pathogenic bacteria
[프로바이오틱스]유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌]①유해산소로부터 세포를 보호하는데 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
(주)서흥,더다른 이뮨타민 올인원 알파,200400200061647,20210609,제조일로부터 24개월,"비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요  
나이아신 : 체내 에너지 생성에 필요
셀렌 : 유해산소로부터 세포를 보호하는데 필요
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B1 : 탄수화물과 에너지 대사에 필요
비타민B2 : 체내 에너지 생성에 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민A : (1) 어두운 곳에서 시각 적응을 위해 필요 (2) 피부와 점막을 형성하고 기능을 유지하는데 필요 (3) 상피세포의 성장과 발달에 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌"
광동헬스바이오(주) 2공장,더다른 초임계 쏘팔메토 & 옥타루테인 이뮨,200400200141791,20240118,제조일로부터 24개월,"[쏘팔메토열매추출물]
① 전립선 건강의 유지에 도움을 줄 수 있음
[마리골드꽃추출물]
① 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
[아연]
① 정상적인 면역기능에 필요 ② 정상적인 세포분열에 필요
[비타민E]
① 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[옥타코사놀 함유 유지]
① 지구력 증진에 도움을 줄 수 있음
[셀렌]
① 유해산소로부터 세포를 보호하는데 필요
[비타민B1]
① 탄수화물과 에너지 대사에 필요
[비타민B2]
① 체내 에너지 생성에 필요
[비타민A]
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요
[비타민D]
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌"
(주)알피바이오,더다른 코큐텐,200400170061554,20221026,제조일로부터 36개월,"[코엔자임Q10] ①항산화·높은 혈압 감소에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
(주)알피바이오,더다른 프로바이오틱스,200400170061213,20210614,18개월,"[프로바이오틱스] 유산균 증식 및 유해균 억제·배변활동 원활에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
코스맥스엔비티(주),더리버치온,200700170352004,20220106,제조일로부터 24개월,"[비타민C]
①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[셀레늄(또는 셀렌]
①유해산소로부터 세포를 보호하는데 필요
[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[밀크씨슬(카르두스 마리아누스)추출물]
① 간 건강에 도움을 줄 수 있음"
주식회사 뉴트리플래닛,더마 뷰티 콜라겐 비오틴 앰플,2019001602423,20240717,제조일로부터 18개월,"피쉬 콜라겐펩타이드(제2019-12호)
(국문)
 -자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
 -피부보습에 도움을 줄 수 있음
(영문)
  -May help to maintain skin health from skin damage by UV radiation
  -May help to maintain skin moisturizing

비타민B1
탄수화물과 에너지 대사에 필요

비타민B2
체내 에너지 생성에 필요

나이아신
체내 에너지 생성에 필요

비타민B6
1. 단백질 및 아미노산 이용에 필요
2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

셀렌
1. 유해산소로부터 세포를 보호하는데 필요

비오틴
1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
주식회사 노바렉스,더마콜라겐 시그니처,200400200082651,20230119,제조일로부터 24개월,"[저분자콜레간펩타이드NS]
-자외선에 의한 피부손상으로부터 피부건강을 유지하는데  도움을 줄 수 있음
-피부보습에 도움을 줄 수 있음
May help to maintain skin health from skin damage by UV radiation
May help to maintain skin moisturizing
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민A] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
코스맥스엔비티(주),더블 맥스 비오틴,200700170352131,20220608,제조일로부터 24개월까지,"[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)한풍네이처팜,더블바이옴 3500 플러스 포스트바이오틱스,20120019007391,20210503,제조일로부터 18개월까지,"- 프로바이오틱스 : 유산균 증식 및 유해균 억제 · 배변활동 원활 · 장건강에 도움을 줄 수 있음 
- 프락토올리고당 : 장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음
- 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요 / 뼈의 형성과 유지에 필요 / 골다공증발생 위험 감소에 도움을 줌 
- 아연 : 정상적인 면역기능에 필요 / 정상적인 세포분열에 필요 
- 셀레늄(셀렌) : 유해산소로부터 세포를 보호하는데 필요"
엠에스바이오텍(주),더블에너지 믹스,200400200201240,20240103,제조일로부터 24개월,"* 나이아신
① 체내 에너지 생성에 필요

*베타카로틴
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민B12
① 정상적인 엽산 대사에 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민E
① 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

*셀렌
① 유해산소로부터 세포를 보호하는데 필요

*식이섬유
① 식이섬유 보충

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 판토텐산
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
동서바이오팜(주),더블에스S,20040017025534,20200213,제조일로부터 24개월,"[콜레우스포스콜리(제 2012-5호)] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
[홍경천추출물] 스트레스로 인한 피로개선에 도움을 줄 수 있음.
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2] ①체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
엔피케이(주),더블엔 활성형 엽산 800,201000190041330,20231110,제조일로부터 24개월,"[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌]①유해산소로부터 세포를 보호하는데 필요"
엠에스바이오텍(주),더블유 인케어 프로바이오틱스,20040020020885,20210416,제조일로부터 18개월,"* 셀레늄(or 셀렌)
① 유해산소로부터 세포를 보호하는데 필요

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음"
엔피케이(주),더블초임계rTG오메가루테인,201000190041144,20211224,제조일로부터 24개월,"[EPA 및 DHA 함유 유지]
①혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[마리골드꽃추출물]
①노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
[비타민A]
①어두운 곳에서 시각 적응을 위해 필요
②피부와 점막을 형성하고 기능을 유지하는데 필요
③상피세포의 성장과 발달에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요
②뼈의 형성과 유지에 필요
③골다공증발생 위험 감소에 도움을 줌
[비타민E]
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[셀렌]
①유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더스트롱 포 맨,200400200071435,20150522,제조일로부터 24개월,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
"
