제조사,제품명,신고번호,등록일,유통기한,기능성
(주)두루원,더 퍼스트,20040020010397,20240521,제조일로부터 24개월,①혈중 콜레스테롤 개선에 도움을 줄 수 있음 ②배변활동원활에 도움을 줄 수 있음
주식회사 상상바이오,더 퍼펙트 모나바 맥스,20200016052109,20230516,제조일로부터 24 개월,"[홍국] ①혈중 콜레스테롤 개선에 도움을 줄 수 있음
[바나바잎 추출물] ①식후 혈당상승 억제에 도움을 줄 수 있음"
(주)한국씨엔에스팜,더 플라워밍 우먼,200400200072453,20201013,제조일로부터 24개월까지,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
콜마비앤에이치(주)음성공장,더다른 감마리놀렌산,200600200032337,20220223,제조일로부터 24개월,"- 감마리놀렌산 : 혈중 콜레스테롤 개선･혈행개선･월경전 변화에 의한 불편한 상태 개선･면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 비타민 E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더미스라인,200400200071942,20180411,제조일로부터 24개월,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌"
(주)한국씨엔에스팜,더블 슬림핏 가르시니아 녹차 카테킨,200400200072686,20210908,제조일로부터 24개월까지,"[녹차추출물] 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음
[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)비오팜,더블 아웃 화이버 차전자피,200400170211621,20240122,제조일로부터 24개월,[차전자피식이섬유] ①혈중 콜레스테롤 개선·배변활동 원활에 도움을 줄 수 있음
우리바이오(주),더블 컷 다이어트 카테킨 & 바나바잎,20190009483193,20211014,제조일로부터 24개월까지,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음"
주)팜크로스,더블발란스-그린,20040015110793,20190131,제조일로부터 24개월,"①배변활동 원활에 도움을 줄 수 있음

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
주)팜크로스,더블발란스-플러스,200400151101089,20220704,제조일로부터 24개월,"(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요"
주)팜크로스,더블버닝 카테킨 알로에,20040015110870,20191206,제조일로부터 24개월,"①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①배변활동 원활에 도움을 줄 수 있음"
(주)서흥,더블스틱 아이돌 다이어트,200400200061984,20240701,제조일로부터 24개월,"녹차추출물 : 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
포항바이오파크,더블슬림,2010001801870,20190808,제조일로부터 2년,"[녹차추출물]
①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음"
엠에스바이오텍(주),더블아웃,20040020020873,20210326,제조일로부터 24개월,"* 마그네슘
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 키토산 / 키토올리고당
① 혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음
	1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 ( : 키토산 또는 키토올리고당으로서 1.2~4.5 g)
	2) 체지방 감소에 도움을 줄 수 있음 ( : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g)

* 판토텐산 ① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
광동헬스바이오(주) 2공장,더블컷 에스,200400200141532,20220531,제조일로부터 24개월,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음"
(주)허브큐어,더블컷 팻 블럭마스터,20040015162191,20180119,제조일로부터 2년까지,"①혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음

①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
한국바이오팜(주)에이치피,더블컷 팻블럭 마스터,20040020046504,20160527,제조일로부터 24개월,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)오투바이오,더블컷팻블럭마스터,2013002000850,20150522,24개월,"[키토산 제품]①혈중 콜레스테롤 개선에 도움을 줄 수 있음 ②체지방 감소에 도움을 줄 수 있음
[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌   "
한국바이오팜(주)에이치피,더쎄라 빼라,20040020046598,20200417,제조일로부터 24개월,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[알로에 전잎] ①배변활동 원활에 도움을 줄 수 있음

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2 ①체내 에너지 생성에 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
포항바이오파크,더이앤 콜레스,20100018018108,20210429,제조일로부터 2년,"[홍국]
①혈중 콜레스테롤 개선에 도움을 줄 수 있음"
